id_img,label
10052,angry
10065,neutral
10079,angry
10095,sad
10121,angry
10148,neutral
10163,sad
10215,sad
1024,sad
10286,neutral
10315,angry
10336,neutral
10338,angry
10371,angry
10382,happy
10399,happy
10415,neutral
10426,angry
10551,sad
10554,happy
10583,neutral
10699,angry
10702,neutral
1071,neutral
10743,angry
10746,neutral
10818,neutral
10823,neutral
10825,neutral
10839,happy
10854,angry
10970,neutral
11002,angry
11017,angry
11024,angry
11028,sad
1106,neutral
11075,angry
11093,sad
11096,angry
11158,neutral
11169,angry
11186,angry
11188,sad
11200,neutral
1124,angry
11266,sad
1127,angry
11337,angry
11342,angry
11400,angry
11421,angry
11467,angry
11561,sad
11610,angry
11613,angry
11632,angry
11642,neutral
11675,angry
11694,angry
1177,angry
11813,angry
11841,angry
11849,angry
11883,angry
11949,angry
11964,angry
11986,neutral
12136,neutral
12144,neutral
1215,neutral
12171,sad
12183,angry
12230,neutral
12237,neutral
12307,angry
1235,angry
12352,neutral
12489,sad
12680,angry
12695,angry
12733,angry
12808,angry
12810,angry
12841,disgust
12842,sad
12851,angry
12928,neutral
12945,angry
13029,angry
13041,angry
13057,surprise
13059,angry
13092,neutral
13118,angry
13167,neutral
13220,neutral
13267,surprise
13279,neutral
13334,sad
13351,sad
13376,neutral
13395,neutral
1340,angry
13431,neutral
1350,angry
13514,sad
13533,angry
13535,angry
1358,sad
13582,angry
13599,sad
13607,angry
13671,neutral
13672,fear
13738,angry
13758,neutral
1386,fear
13890,angry
13978,angry
14022,angry
14030,angry
14058,neutral
14108,angry
14118,happy
14120,sad
14148,neutral
14185,sad
14206,angry
1422,sad
14243,angry
14315,angry
14329,angry
14357,angry
14376,angry
1438,neutral
14381,sad
14421,angry
14438,sad
14498,sad
14557,neutral
1460,angry
14706,angry
1477,neutral
14775,neutral
14821,angry
14831,sad
14870,neutral
14945,angry
15074,fear
1508,neutral
15138,angry
15172,sad
15190,angry
15194,angry
15217,fear
15222,angry
15295,sad
15474,sad
15500,sad
15502,sad
1555,neutral
15562,angry
15637,sad
15644,neutral
15654,surprise
15699,angry
157,disgust
15709,angry
15712,angry
15715,surprise
15725,angry
1575,angry
15771,disgust
1582,neutral
15820,sad
15821,sad
15835,angry
1584,angry
15848,angry
15897,happy
15919,angry
15941,angry
15954,happy
15979,sad
16033,neutral
16102,sad
16169,angry
